ind	year	plot	pathogen	trait1	trait2	trait3
Coll0163	2011	301	TRUE	47.4825277794549	14.760520651686	1
Coll0163	2011	302	TRUE	66.1547109076089	14.2181234432613	1
Coll0163	2011	303	TRUE	71.2718468125888	13.6687131004426	1
Coll0163	2011	304	TRUE	79.6989976422228	13.4287564232956	1
Coll0163	2011	305	TRUE	78.0150078215365	13.6775919236254	1
Coll0389	2011	306	TRUE	80.7294896053237	15.7101486351774	0
Coll0389	2011	307	TRUE	91.5019682577821	14.3850848593756	0
Coll0389	2011	308	TRUE	113.538570697314	15.6466954494413	0
Coll0389	2011	309	TRUE	90.2711920248759	14.1178393754717	0
Coll0389	2011	310	TRUE	127.492807716482	13.6507385701715	0
Coll0598	2011	311	TRUE	84.8023390829784	13.7414208940551	0
Coll0598	2011	312	TRUE	96.3889519342341	13.0777868246287	0
Coll0598	2011	313	TRUE	59.4130490707504	13.3837720772203	0
Coll0598	2011	314	TRUE	90.471829646286	13.9222078724364	0
Coll0598	2011	315	TRUE	97.5905562082793	13.8421063877694	0
Coll0611	2011	316	TRUE	68.0327570135015	15.8761567364731	1
Coll0611	2011	317	TRUE	61.4730281812844	16.9173913647984	1
Coll0611	2011	318	TRUE	61.3359909804771	13.8050389772222	1
Coll0611	2011	319	TRUE	77.6908154886201	14.8864824610632	1
Coll0611	2011	320	TRUE	96.5280563419405	15.058111151668	1
Coll0758	2011	321	TRUE	54.6483289065566	14.4665386648061	1
Coll0758	2011	322	TRUE	81.2448121646653	15.318327020657	1
Coll0758	2011	323	TRUE	74.9487020612713	13.3890339120565	1
Coll0758	2011	324	TRUE	91.230177572672	14.7793077796818	0
Coll0758	2011	325	TRUE	84.7285002695968	15.0678919794371	1
Coll0163	2012	301	FALSE	59.7346201328966	16.121550839454	0
Coll0163	2012	302	FALSE	135.406813150877	16.0185586744771	0
Coll0163	2012	303	FALSE	75.2544994622325	13.5027761890699	0
Coll0163	2012	304	FALSE	96.1642168795021	15.4651150376312	0
Coll0163	2012	305	FALSE	106.135795404194	16.1081940022868	0
Coll0389	2012	306	FALSE	80.9400408005249	16.0061423639368	0
Coll0389	2012	307	FALSE	87.5743656018055	15.7012343132775	0
Coll0389	2012	308	FALSE	96.8710727136657	17.0112365855066	0
Coll0389	2012	309	FALSE	85.5762048097754	15.1588839370489	0
Coll0389	2012	310	FALSE	77.3313662404471	15.7304140436461	0
Coll0598	2012	311	FALSE	65.2261506583734	15.4680809766539	0
Coll0598	2012	312	FALSE	113.897662503577	16.47866486712	0
Coll0598	2012	313	FALSE	100.171193152917	15.4569580429644	0
Coll0598	2012	314	FALSE	88.7317278460481	14.9444883954405	0
Coll0598	2012	315	FALSE	93.4156892077691	16.6394199587405	0
Coll0611	2012	316	FALSE	93.968138378563	15.3214503032745	0
Coll0611	2012	317	FALSE	89.1106369473094	17.2264042717531	0
Coll0611	2012	318	FALSE	100.185039043966	18.2816746493943	0
Coll0611	2012	319	FALSE	95.4910314202458	17.1636639855453	0
Coll0611	2012	320	FALSE	112.912628223022	18.3699361028072	0
Coll0758	2012	321	FALSE	111.443804631633	17.0655257620814	0
Coll0758	2012	322	FALSE	83.1132899811883	17.3432663536075	0
