ind	year	plot	pathogen	trait1	trait2	trait3
Coll0001	2005	1	TRUE	84.1018451865273	19.4412706650942	1
Coll0001	2005	2	TRUE	106.864784089597	18.6518406761292	1
Coll0002	2005	3	TRUE	70.7266991530793	18.7880728229092	1
Coll0002	2005	4	TRUE	60.3191959584649	18.0580992408066	1
Coll0003	2005	5	TRUE	34.7159436200185	16.6381595577458	1
Coll0003	2005	6	TRUE	80.9850057850754	17.1638110723472	1
Coll0004	2005	7	TRUE	64.6584673960313	17.5119778792981	1
Coll0004	2005	8	TRUE	47.8796202394467	17.3484459889198	1
Coll0005	2005	9	TRUE	66.6198134285074	19.5988526226107	1
Coll0005	2005	10	TRUE	89.1719866210878	19.8796702687893	1
Coll0006	2005	11	TRUE	64.5760917049511	17.5792673403552	1
Coll0006	2005	12	TRUE	101.298142252744	18.9221090877586	1
Coll0007	2005	13	TRUE	71.9606028907594	18.8590510909719	1
Coll0007	2005	14	TRUE	79.6222076754964	19.0631156739502	1
Coll0008	2005	15	TRUE	58.0921387407323	19.0518635234142	1
Coll0008	2005	16	TRUE	58.5346408581611	18.7974733511341	1
Coll0009	2005	17	TRUE	76.3387369455847	18.080785727939	1
Coll0009	2005	18	TRUE	78.3884574811048	17.3437635131589	1
Coll0010	2005	19	TRUE	74.2810509034471	20.4087535830827	1
Coll0010	2005	20	TRUE	75.881149678658	18.9394795004718	1
Coll0011	2005	21	TRUE	85.1077799093306	19.7038146824415	0
Coll0011	2005	22	TRUE	113.44763573811	18.145434542821	0
Coll0012	2005	23	TRUE	89.6359935624266	16.2715333808852	1
Coll0012	2005	24	TRUE	86.6931271157283	17.2811708559846	1
Coll0013	2005	25	TRUE	64.3813062114738	18.0267583845938	1
Coll0013	2005	26	TRUE	62.5729543730339	18.2726056833503	1
Coll0014	2005	27	TRUE	62.6409465968142	19.9740936558509	1
Coll0014	2005	28	TRUE	55.9783395895776	18.9404750281688	1
Coll0015	2005	29	TRUE	91.8039902737943	16.425282521514	1
Coll0015	2005	30	TRUE	53.7068677686878	17.6596813531938	1
