"ind"	"control_ind"	"year"	"plot"	"pathogen"	"trait1"	"trait2"	"trait3"
"Coll0001"	0	2016	"1"	"TRUE"	84.10185	19.44127	1
"Coll0001"	0	2016	"2"	"TRUE"	106.86478	18.65184	1
"Coll0002"	0	2016	"3"	"TRUE"	70.7267	18.78807	1
"Coll0002"	0	2016	"4"	"TRUE"	60.3192	18.0581	1
"Coll0003"	0	2016	"5"	"TRUE"	34.71594	16.63816	1
"Coll0003"	0	2016	"6"	"TRUE"	80.98501	17.16381	1
"Coll0004"	0	2016	"7"	"TRUE"	64.65847	17.51198	1
"Coll0004"	0	2016	"8"	"TRUE"	47.87962	17.34845	1
"Coll0005"	0	2016	"9"	"TRUE"	66.61981	19.59885	1
"Coll0005"	0	2016	"10"	"TRUE"	89.17199	19.87967	1
"Coll0006"	0	2016	"11"	"TRUE"	64.57609	17.57927	1
"Coll0006"	0	2016	"12"	"TRUE"	101.29814	18.92211	1
"Coll0007"	0	2016	"13"	"TRUE"	71.9606	18.85905	1
"Coll0007"	0	2016	"14"	"TRUE"	79.62221	19.06312	1
"Coll0008"	0	2016	"15"	"TRUE"	58.09214	19.05186	1
"Coll0008"	0	2016	"16"	"TRUE"	58.53464	18.79747	1
"Coll0009"	0	2016	"17"	"TRUE"	76.33874	18.08079	1
"Coll0009"	0	2016	"18"	"TRUE"	78.38846	17.34376	1
"Coll0010"	0	2016	"19"	"TRUE"	74.28105	20.40875	1
"Coll0010"	0	2016	"20"	"TRUE"	75.88115	18.93948	1
"Coll0011"	0	2016	"21"	"TRUE"	85.10778	19.70381	0
"Coll0011"	0	2016	"22"	"TRUE"	113.44764	18.14543	0
"Coll0012"	0	2016	"23"	"TRUE"	89.63599	16.27153	1
"Coll0012"	0	2016	"24"	"TRUE"	86.69313	17.28117	1
"Coll0013"	0	2016	"25"	"TRUE"	64.38131	18.02676	1
"Coll0013"	0	2016	"26"	"TRUE"	62.57295	18.27261	1
"Coll0014"	0	2016	"27"	"TRUE"	62.64095	19.97409	1
"Coll0014"	0	2016	"28"	"TRUE"	55.97834	18.94048	1
"Coll0015"	0	2016	"29"	"TRUE"	91.80399	16.42528	1
"Coll0015"	0	2016	"30"	"TRUE"	53.70687	17.65968	1
"Coll0016"	0	2016	"31"	"TRUE"	88.40207	16.96758	1
"Coll0016"	0	2016	"32"	"TRUE"	65.29661	17.68993	1
"Coll0017"	0	2016	"33"	"TRUE"	78.46123	19.7327	1
"Coll0017"	0	2016	"34"	"TRUE"	78.04103	19.6416	1
"Coll0018"	0	2016	"35"	"TRUE"	101.00229	18.19566	0
"Coll0018"	0	2016	"36"	"TRUE"	116.86336	18.374	0
"Coll0019"	0	2016	"37"	"TRUE"	54.88588	17.90066	1
"Coll0019"	0	2016	"38"	"TRUE"	73.35632	17.30268	0
"Coll0020"	0	2016	"39"	"TRUE"	70.11961	16.95742	1
"Coll0020"	0	2016	"40"	"TRUE"	53.00916	16.9567	1
"Coll0021"	0	2016	"41"	"TRUE"	70.46573	19.97736	1
"Coll0021"	0	2016	"42"	"TRUE"	88.98718	18.1461	1
