parent1	parent2	child	explanations
gen1_Coll0786xColl0447		HD_gen1_Coll0786xColl0447_1	haplodiploidization
gen1_Coll0786xColl0447		HD_gen1_Coll0786xColl0447_2	haplodiploidization
gen1_Coll0786xColl0447		HD_gen1_Coll0786xColl0447_3	haplodiploidization
gen1_Coll0775xColl0447		HD_gen1_Coll0775xColl0447_1	haplodiploidization
gen1_Coll0775xColl0447		HD_gen1_Coll0775xColl0447_2	haplodiploidization
gen1_Coll0775xColl0447		HD_gen1_Coll0775xColl0447_3	haplodiploidization
gen1_Coll0786xColl0373		HD_gen1_Coll0786xColl0373_1	haplodiploidization
gen1_Coll0786xColl0373		HD_gen1_Coll0786xColl0373_2	haplodiploidization
gen1_Coll0786xColl0373		HD_gen1_Coll0786xColl0373_3	haplodiploidization
gen1_Coll0775xColl0373		HD_gen1_Coll0775xColl0373_1	haplodiploidization
gen1_Coll0775xColl0373		HD_gen1_Coll0775xColl0373_2	haplodiploidization
gen1_Coll0775xColl0373		HD_gen1_Coll0775xColl0373_3	haplodiploidization
gen1_Coll0786xColl0772		HD_gen1_Coll0786xColl0772_1	haplodiploidization
gen1_Coll0786xColl0772		HD_gen1_Coll0786xColl0772_2	haplodiploidization
gen1_Coll0786xColl0772		HD_gen1_Coll0786xColl0772_3	haplodiploidization
gen1_Coll0775xColl0772		HD_gen1_Coll0775xColl0772_1	haplodiploidization
gen1_Coll0775xColl0772		HD_gen1_Coll0775xColl0772_2	haplodiploidization
gen1_Coll0775xColl0772		HD_gen1_Coll0775xColl0772_3	haplodiploidization
gen1_Coll0786xColl0605		HD_gen1_Coll0786xColl0605_1	haplodiploidization
gen1_Coll0786xColl0605		HD_gen1_Coll0786xColl0605_2	haplodiploidization
gen1_Coll0786xColl0605		HD_gen1_Coll0786xColl0605_3	haplodiploidization
gen1_Coll0775xColl0605		HD_gen1_Coll0775xColl0605_1	haplodiploidization
gen1_Coll0775xColl0605		HD_gen1_Coll0775xColl0605_2	haplodiploidization
gen1_Coll0775xColl0605		HD_gen1_Coll0775xColl0605_3	haplodiploidization
gen1_Coll0786xColl0316		HD_gen1_Coll0786xColl0316_1	haplodiploidization
gen1_Coll0786xColl0316		HD_gen1_Coll0786xColl0316_2	haplodiploidization
gen1_Coll0786xColl0316		HD_gen1_Coll0786xColl0316_3	haplodiploidization
gen1_Coll0775xColl0316		HD_gen1_Coll0775xColl0316_1	haplodiploidization
gen1_Coll0775xColl0316		HD_gen1_Coll0775xColl0316_2	haplodiploidization
gen1_Coll0775xColl0316		HD_gen1_Coll0775xColl0316_3	haplodiploidization
gen1_Coll0786xColl0365		HD_gen1_Coll0786xColl0365_1	haplodiploidization
gen1_Coll0786xColl0365		HD_gen1_Coll0786xColl0365_2	haplodiploidization
gen1_Coll0786xColl0365		HD_gen1_Coll0786xColl0365_3	haplodiploidization
gen1_Coll0775xColl0365		HD_gen1_Coll0775xColl0365_1	haplodiploidization
gen1_Coll0775xColl0365		HD_gen1_Coll0775xColl0365_2	haplodiploidization
gen1_Coll0775xColl0365		HD_gen1_Coll0775xColl0365_3	haplodiploidization
gen1_Coll0786xColl0396		HD_gen1_Coll0786xColl0396_1	haplodiploidization
gen1_Coll0786xColl0396		HD_gen1_Coll0786xColl0396_2	haplodiploidization
gen1_Coll0786xColl0396		HD_gen1_Coll0786xColl0396_3	haplodiploidization
gen1_Coll0775xColl0396		HD_gen1_Coll0775xColl0396_1	haplodiploidization
gen1_Coll0775xColl0396		HD_gen1_Coll0775xColl0396_2	haplodiploidization
gen1_Coll0775xColl0396		HD_gen1_Coll0775xColl0396_3	haplodiploidization
gen1_Coll0786xColl0450		HD_gen1_Coll0786xColl0450_1	haplodiploidization
gen1_Coll0786xColl0450		HD_gen1_Coll0786xColl0450_2	haplodiploidization
gen1_Coll0786xColl0450		HD_gen1_Coll0786xColl0450_3	haplodiploidization
gen1_Coll0775xColl0450		HD_gen1_Coll0775xColl0450_1	haplodiploidization
gen1_Coll0775xColl0450		HD_gen1_Coll0775xColl0450_2	haplodiploidization
gen1_Coll0775xColl0450		HD_gen1_Coll0775xColl0450_3	haplodiploidization
