parent1	parent2	child	explanations
Coll0002	Coll0001	gen1_Coll0002xColl0001	allofecundation
Coll0003	Coll0001	gen1_Coll0003xColl0001	allofecundation
Coll0004	Coll0001	gen1_Coll0004xColl0001	allofecundation
Coll0005	Coll0001	gen1_Coll0005xColl0001	allofecundation
Coll0001	Coll0002	gen1_Coll0001xColl0002	allofecundation
Coll0003	Coll0002	gen1_Coll0003xColl0002	allofecundation
Coll0004	Coll0002	gen1_Coll0004xColl0002	allofecundation
Coll0005	Coll0002	gen1_Coll0005xColl0002	allofecundation
Coll0001	Coll0003	gen1_Coll0001xColl0003	allofecundation
Coll0002	Coll0003	gen1_Coll0002xColl0003	allofecundation
Coll0004	Coll0003	gen1_Coll0004xColl0003	allofecundation
Coll0005	Coll0003	gen1_Coll0005xColl0003	allofecundation
Coll0001	Coll0004	gen1_Coll0001xColl0004	allofecundation
Coll0002	Coll0004	gen1_Coll0002xColl0004	allofecundation
Coll0003	Coll0004	gen1_Coll0003xColl0004	allofecundation
Coll0005	Coll0004	gen1_Coll0005xColl0004	allofecundation
Coll0001	Coll0005	gen1_Coll0001xColl0005	allofecundation
Coll0002	Coll0005	gen1_Coll0002xColl0005	allofecundation
Coll0003	Coll0005	gen1_Coll0003xColl0005	allofecundation
Coll0004	Coll0005	gen1_Coll0004xColl0005	allofecundation
