parent1	parent2	child	explanations
gen1_Coll0322xColl0350		HD_gen1_Coll0322xColl0350_1	haplodiploidization
gen1_Coll0322xColl0350		HD_gen1_Coll0322xColl0350_2	haplodiploidization
gen1_Coll0322xColl0350		HD_gen1_Coll0322xColl0350_3	haplodiploidization
gen1_Coll0674xColl0350		HD_gen1_Coll0674xColl0350_1	haplodiploidization
gen1_Coll0674xColl0350		HD_gen1_Coll0674xColl0350_2	haplodiploidization
gen1_Coll0674xColl0350		HD_gen1_Coll0674xColl0350_3	haplodiploidization
gen1_Coll0322xColl0468		HD_gen1_Coll0322xColl0468_1	haplodiploidization
gen1_Coll0322xColl0468		HD_gen1_Coll0322xColl0468_2	haplodiploidization
gen1_Coll0322xColl0468		HD_gen1_Coll0322xColl0468_3	haplodiploidization
gen1_Coll0674xColl0468		HD_gen1_Coll0674xColl0468_1	haplodiploidization
gen1_Coll0674xColl0468		HD_gen1_Coll0674xColl0468_2	haplodiploidization
gen1_Coll0674xColl0468		HD_gen1_Coll0674xColl0468_3	haplodiploidization
gen1_Coll0322xColl0737		HD_gen1_Coll0322xColl0737_1	haplodiploidization
gen1_Coll0322xColl0737		HD_gen1_Coll0322xColl0737_2	haplodiploidization
gen1_Coll0322xColl0737		HD_gen1_Coll0322xColl0737_3	haplodiploidization
gen1_Coll0674xColl0737		HD_gen1_Coll0674xColl0737_1	haplodiploidization
gen1_Coll0674xColl0737		HD_gen1_Coll0674xColl0737_2	haplodiploidization
gen1_Coll0674xColl0737		HD_gen1_Coll0674xColl0737_3	haplodiploidization
gen1_Coll0322xColl0517		HD_gen1_Coll0322xColl0517_1	haplodiploidization
gen1_Coll0322xColl0517		HD_gen1_Coll0322xColl0517_2	haplodiploidization
gen1_Coll0322xColl0517		HD_gen1_Coll0322xColl0517_3	haplodiploidization
gen1_Coll0674xColl0517		HD_gen1_Coll0674xColl0517_1	haplodiploidization
gen1_Coll0674xColl0517		HD_gen1_Coll0674xColl0517_2	haplodiploidization
gen1_Coll0674xColl0517		HD_gen1_Coll0674xColl0517_3	haplodiploidization
gen1_Coll0322xColl0759		HD_gen1_Coll0322xColl0759_1	haplodiploidization
gen1_Coll0322xColl0759		HD_gen1_Coll0322xColl0759_2	haplodiploidization
gen1_Coll0322xColl0759		HD_gen1_Coll0322xColl0759_3	haplodiploidization
gen1_Coll0674xColl0759		HD_gen1_Coll0674xColl0759_1	haplodiploidization
gen1_Coll0674xColl0759		HD_gen1_Coll0674xColl0759_2	haplodiploidization
gen1_Coll0674xColl0759		HD_gen1_Coll0674xColl0759_3	haplodiploidization
gen1_Coll0322xColl0677		HD_gen1_Coll0322xColl0677_1	haplodiploidization
gen1_Coll0322xColl0677		HD_gen1_Coll0322xColl0677_2	haplodiploidization
gen1_Coll0322xColl0677		HD_gen1_Coll0322xColl0677_3	haplodiploidization
gen1_Coll0674xColl0677		HD_gen1_Coll0674xColl0677_1	haplodiploidization
gen1_Coll0674xColl0677		HD_gen1_Coll0674xColl0677_2	haplodiploidization
gen1_Coll0674xColl0677		HD_gen1_Coll0674xColl0677_3	haplodiploidization
gen1_Coll0322xColl0404		HD_gen1_Coll0322xColl0404_1	haplodiploidization
gen1_Coll0322xColl0404		HD_gen1_Coll0322xColl0404_2	haplodiploidization
gen1_Coll0322xColl0404		HD_gen1_Coll0322xColl0404_3	haplodiploidization
gen1_Coll0674xColl0404		HD_gen1_Coll0674xColl0404_1	haplodiploidization
gen1_Coll0674xColl0404		HD_gen1_Coll0674xColl0404_2	haplodiploidization
gen1_Coll0674xColl0404		HD_gen1_Coll0674xColl0404_3	haplodiploidization
gen1_Coll0322xColl0332		HD_gen1_Coll0322xColl0332_1	haplodiploidization
gen1_Coll0322xColl0332		HD_gen1_Coll0322xColl0332_2	haplodiploidization
gen1_Coll0322xColl0332		HD_gen1_Coll0322xColl0332_3	haplodiploidization
gen1_Coll0674xColl0332		HD_gen1_Coll0674xColl0332_1	haplodiploidization
gen1_Coll0674xColl0332		HD_gen1_Coll0674xColl0332_2	haplodiploidization
gen1_Coll0674xColl0332		HD_gen1_Coll0674xColl0332_3	haplodiploidization
